City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Ostersund,SE,63.18,14.64,48.2,93,97,11.41,light rain
290,Malim,PH,7.45,123.43,81.09,79,89,4.54,overcast clouds
291,Praya,CV,14.92,-23.51,80.6,78,75,11.41,broken clouds
292,Kieta,PG,-6.22,155.63,84.25,66,8,3.89,light rain
293,Kavaratti,IN,10.57,72.64,82.76,78,99,25.55,overcast clouds
294,Kutum,SD,14.2,24.67,77.2,55,34,10.33,scattered clouds
295,College,US,64.86,-147.8,60.01,51,40,9.17,scattered clouds
296,Springbok,ZA,-29.66,17.89,52.9,45,0,5.41,clear sky
297,Gorontalo,ID,0.54,123.06,77.32,86,18,1.61,few clouds
298,Victoria,HK,22.29,114.16,84.0,86,61,1.99,light rain
299,At-Bashi,KG,41.17,75.81,48.16,53,73,1.9,broken clouds
300,Morro Bay,US,35.37,-120.85,114.01,13,0,10.51,clear sky
301,Ostrovnoy,RU,68.05,39.51,52.05,81,63,15.73,broken clouds
302,Jinka,ET,5.65,36.65,63.82,86,68,3.53,light rain
303,Pran Buri,TH,12.38,99.91,80.38,79,100,5.14,overcast clouds
304,Swan Hill,AU,-35.34,143.55,58.24,54,0,14.85,light rain
305,Narok,KE,-1.08,35.86,58.28,91,98,4.83,light rain
306,Saldanha,ZA,-33.01,17.94,51.8,76,0,2.24,clear sky
307,Grindavik,IS,63.84,-22.43,50.0,100,90,14.99,light intensity drizzle rain
308,Bayonet Point,US,28.33,-82.68,82.0,88,90,5.82,thunderstorm
309,Touros,BR,-5.2,-35.46,75.2,73,67,6.93,broken clouds
310,Alexandria,EG,31.22,29.96,78.8,74,40,8.05,scattered clouds
311,Acapulco,MX,16.86,-99.89,82.4,78,90,3.36,overcast clouds
312,Kostyantynivka,UA,48.53,37.71,64.22,28,35,8.63,scattered clouds
313,Tromso,NO,69.65,18.96,48.2,93,90,12.75,heavy intensity drizzle
314,Pangnirtung,CA,66.15,-65.71,40.57,70,55,2.46,broken clouds
315,Kozhva,RU,65.11,57.05,51.12,95,46,5.59,scattered clouds
316,Buala,SB,-8.14,159.59,84.67,69,24,7.0,light rain
317,Lebu,CL,-37.62,-73.65,49.71,86,0,10.98,clear sky
318,Marsa Matruh,EG,31.35,27.25,77.0,65,0,5.82,clear sky
319,Kisangani,CD,0.52,25.2,70.36,94,72,0.54,broken clouds
320,Gourcy,BF,13.22,-2.35,75.04,86,75,3.56,broken clouds
321,Grafton,US,42.21,-71.69,73.4,49,20,3.36,few clouds
322,Villa Del Rosario,CO,7.83,-72.47,84.2,74,40,9.17,scattered clouds
323,Saint-Augustin,CA,51.23,-58.65,56.3,67,19,10.04,few clouds
324,San Jeronimo,PE,-11.95,-75.28,59.34,43,82,6.02,broken clouds
325,Hannibal,US,39.71,-91.36,87.8,43,1,17.22,clear sky
